IDdistrict,year,month,day,maxtemp,mintemp,sunnyhours,daytype
1-1-1-6,2020,12,25,6,6,4,SUNNY
1-1-1-6,2020,12,26,29,24,6,RAINY
1-1-1-6,2020,12,27,24,18,6,RAINY
1-1-1-6,2020,12,28,6,-8,9,SUNNY
1-1-1-7,2020,1,1,-6,-8,4,CLOUDY
1-1-1-7,2020,1,2,7,-2,11,SNOWY
1-1-1-7,2020,1,3,-9,-10,4,SNOWY
1-1-1-7,2020,1,4,-1,-3,0,SNOWY
1-1-1-7,2020,1,5,16,-5,4,CLOUDY
1-1-1-7,2020,1,6,35,32,8,SUNNY
1-1-1-7,2020,1,7,40,40,10,SNOWY
1-1-1-7,2020,1,8,8,1,0,RAINY
1-1-1-7,2020,1,9,3,-7,0,SNOWY
1-1-1-7,2020,1,10,12,10,1,CLOUDY
1-1-1-7,2020,1,11,48,9,0,SNOWY
1-1-1-7,2020,1,12,13,10,4,RAINY
1-1-1-7,2020,1,13,30,26,10,RAINY
1-1-1-7,2020,1,14,17,-4,5,SNOWY
1-1-1-7,2020,1,15,26,9,0,SUNNY
1-1-1-7,2020,1,16,-3,-8,11,CLOUDY
1-1-1-7,2020,1,17,4,-10,10,RAINY
1-1-1-7,2020,1,18,44,-4,2,SUNNY
1-1-1-7,2020,1,19,-10,-10,11,SUNNY
1-1-1-7,2020,1,20,32,21,7,CLOUDY
1-1-1-7,2020,1,21,13,3,12,SUNNY
1-1-1-7,2020,1,22,20,10,9,SUNNY
1-1-1-7,2020,1,23,4,-1,8,SNOWY
1-1-1-7,2020,1,24,41,4,1,RAINY
1-1-1-7,2020,1,25,0,-7,12,SUNNY
1-1-1-7,2020,1,26,15,9,11,CLOUDY
1-1-1-7,2020,1,27,-4,-6,11,RAINY
1-1-1-7,2020,1,28,12,-4,2,SUNNY
1-1-1-7,2020,2,1,2,1,11,CLOUDY
1-1-1-7,2020,2,2,26,1,2,CLOUDY
1-1-1-7,2020,2,3,42,31,0,SUNNY
1-1-1-7,2020,2,4,43,-10,0,SNOWY
1-1-1-7,2020,2,5,43,32,3,SNOWY
1-1-1-7,2020,2,6,39,-6,1,SUNNY
1-1-1-7,2020,2,7,19,12,7,CLOUDY
1-1-1-7,2020,2,8,7,4,1,CLOUDY
1-1-1-7,2020,2,9,5,1,7,SNOWY
1-1-1-7,2020,2,10,-1,-7,10,RAINY
1-1-1-7,2020,2,11,0,-3,7,SNOWY
1-1-1-7,2020,2,12,26,-6,2,RAINY
1-1-1-7,2020,2,13,11,-3,10,CLOUDY
1-1-1-7,2020,2,14,13,7,0,SNOWY
1-1-1-7,2020,2,15,-8,-10,2,CLOUDY
1-1-1-7,2020,2,16,18,0,9,SNOWY
1-1-1-7,2020,2,17,13,10,8,CLOUDY
1-1-1-7,2020,2,18,13,-10,5,CLOUDY
1-1-1-7,2020,2,19,-1,-4,10,SNOWY
1-1-1-7,2020,2,20,39,20,3,SNOWY
1-1-1-7,2020,2,21,29,10,8,RAINY
1-1-1-7,2020,2,22,23,11,0,SNOWY
1-1-1-7,2020,2,23,10,9,8,RAINY
1-1-1-7,2020,2,24,1,-8,6,SUNNY
1-1-1-7,2020,2,25,30,23,6,SUNNY
1-1-1-7,2020,2,26,44,2,7,CLOUDY
1-1-1-7,2020,2,27,5,2,11,CLOUDY
1-1-1-7,2020,2,28,35,18,5,SNOWY
1-1-1-7,2020,3,1,20,-2,3,SUNNY
1-1-1-7,2020,3,2,0,-1,12,SUNNY
1-1-1-7,2020,3,3,38,-10,0,CLOUDY
1-1-1-7,2020,3,4,2,-5,6,SNOWY
1-1-1-7,2020,3,5,44,35,0,SUNNY
1-1-1-7,2020,3,6,27,25,0,CLOUDY
1-1-1-7,2020,3,7,41,41,8,SUNNY
1-1-1-7,2020,3,8,38,32,11,CLOUDY
1-1-1-7,2020,3,9,41,22,11,SUNNY
1-1-1-7,2020,3,10,19,9,3,CLOUDY
1-1-1-7,2020,3,11,34,0,0,CLOUDY
1-1-1-7,2020,3,12,-5,-7,2,SUNNY
1-1-1-7,2020,3,13,41,11,2,CLOUDY
1-1-1-7,2020,3,14,6,-6,8,RAINY
1-1-1-7,2020,3,15,36,13,9,SNOWY
1-1-1-7,2020,3,16,35,9,4,SNOWY
1-1-1-7,2020,3,17,21,-4,0,SNOWY
1-1-1-7,2020,3,18,4,-5,2,CLOUDY
1-1-1-7,2020,3,19,5,5,6,CLOUDY
1-1-1-7,2020,3,20,35,-6,5,CLOUDY
1-1-1-7,2020,3,21,28,5,12,RAINY
1-1-1-7,2020,3,22,-6,-9,10,SUNNY
1-1-1-7,2020,3,23,42,14,6,SNOWY
1-1-1-7,2020,3,24,29,-4,5,SUNNY
1-1-1-7,2020,3,25,0,-7,11,SUNNY
1-1-1-7,2020,3,26,-2,-10,2,CLOUDY
1-1-1-7,2020,3,27,47,33,3,RAINY
1-1-1-7,2020,3,28,34,32,12,RAINY
1-1-1-7,2020,4,1,30,14,5,CLOUDY
1-1-1-7,2020,4,2,-6,-10,2,SUNNY
1-1-1-7,2020,4,3,44,43,3,SUNNY
1-1-1-7,2020,4,4,44,12,4,SNOWY
1-1-1-7,2020,4,5,21,3,5,SNOWY
1-1-1-7,2020,4,6,-1,-6,4,SUNNY
1-1-1-7,2020,4,7,47,-2,0,SUNNY
1-1-1-7,2020,4,8,42,15,6,SNOWY
1-1-1-7,2020,4,9,-9,-10,11,CLOUDY
1-1-1-7,2020,4,10,25,20,9,SUNNY
1-1-1-7,2020,4,11,11,10,1,CLOUDY
1-1-1-7,2020,4,12,28,4,0,RAINY
1-1-1-7,2020,4,13,48,26,10,CLOUDY
1-1-1-7,2020,4,14,0,-6,0,SNOWY
1-1-1-7,2020,4,15,16,1,11,RAINY
1-1-1-7,2020,4,16,-3,-7,11,SUNNY
1-1-1-7,2020,4,17,14,-5,2,SNOWY
1-1-1-7,2020,4,18,34,-1,8,RAINY
1-1-1-7,2020,4,19,49,39,2,SNOWY
1-1-1-7,2020,4,20,6,5,9,SNOWY
1-1-1-7,2020,4,21,26,19,7,CLOUDY
1-1-1-7,2020,4,22,22,-1,11,CLOUDY
1-1-1-7,2020,4,23,39,-5,2,RAINY
1-1-1-7,2020,4,24,-3,-7,7,SUNNY
1-1-1-7,2020,4,25,-4,-9,3,SNOWY
1-1-1-7,2020,4,26,24,0,7,CLOUDY
1-1-1-7,2020,4,27,24,15,9,RAINY
1-1-1-7,2020,4,28,39,9,5,CLOUDY
1-1-1-7,2020,5,1,12,7,2,SNOWY
1-1-1-7,2020,5,2,26,26,9,CLOUDY
1-1-1-7,2020,5,3,16,4,7,SUNNY
1-1-1-7,2020,5,4,41,8,8,RAINY
1-1-1-7,2020,5,5,-4,-5,9,SNOWY
1-1-1-7,2020,5,6,47,32,10,RAINY
1-1-1-7,2020,5,7,34,10,0,SUNNY
1-1-1-7,2020,5,8,43,-1,11,SUNNY
1-1-1-7,2020,5,9,40,39,5,RAINY
1-1-1-7,2020,5,10,20,-5,11,CLOUDY
1-1-1-7,2020,5,11,0,-10,7,SNOWY
1-1-1-7,2020,5,12,1,-8,3,RAINY
1-1-1-7,2020,5,13,9,-6,4,CLOUDY
1-1-1-7,2020,5,14,37,-8,2,RAINY
1-1-1-7,2020,5,15,8,-6,3,SUNNY
1-1-1-7,2020,5,16,13,-6,0,RAINY
1-1-1-7,2020,5,17,-3,-9,0,SUNNY
1-1-1-7,2020,5,18,-5,-7,8,RAINY
1-1-1-7,2020,5,19,32,-6,4,SUNNY
1-1-1-7,2020,5,20,6,3,11,RAINY
1-1-1-7,2020,5,21,18,0,9,CLOUDY
1-1-1-7,2020,5,22,-8,-9,5,SUNNY
1-1-1-7,2020,5,23,21,14,7,CLOUDY
1-1-1-7,2020,5,24,20,-2,11,CLOUDY
1-1-1-7,2020,5,25,42,39,3,SUNNY
1-1-1-7,2020,5,26,6,0,12,SUNNY
1-1-1-7,2020,5,27,13,-2,12,SUNNY
1-1-1-7,2020,5,28,32,11,4,SUNNY
1-1-1-7,2020,6,1,21,2,3,SUNNY
1-1-1-7,2020,6,2,25,0,1,CLOUDY
1-1-1-7,2020,6,3,-2,-3,3,RAINY
1-1-1-7,2020,6,4,12,7,3,SUNNY
1-1-1-7,2020,6,5,25,2,2,SUNNY
1-1-1-7,2020,6,6,6,-1,0,SNOWY
1-1-1-7,2020,6,7,24,-2,0,SUNNY
1-1-1-7,2020,6,8,19,-5,12,CLOUDY
1-1-1-7,2020,6,9,48,41,8,SNOWY
1-1-1-7,2020,6,10,34,-4,4,SUNNY
1-1-1-7,2020,6,11,1,-3,1,RAINY
1-1-1-7,2020,6,12,-4,-10,1,RAINY
1-1-1-7,2020,6,13,-10,-10,9,SNOWY
1-1-1-7,2020,6,14,7,4,4,SUNNY
1-1-1-7,2020,6,15,15,-4,6,RAINY
1-1-1-7,2020,6,16,24,-6,7,CLOUDY
1-1-1-7,2020,6,17,-3,-8,12,SUNNY
1-1-1-7,2020,6,18,31,29,4,CLOUDY
1-1-1-7,2020,6,19,-9,-10,8,SNOWY
1-1-1-7,2020,6,20,0,-7,5,SNOWY
1-1-1-7,2020,6,21,23,19,6,RAINY
1-1-1-7,2020,6,22,-10,-10,6,RAINY
1-1-1-7,2020,6,23,26,22,1,SNOWY
1-1-1-7,2020,6,24,42,22,2,SUNNY
1-1-1-7,2020,6,25,26,26,3,CLOUDY
1-1-1-7,2020,6,26,-9,-10,3,CLOUDY
1-1-1-7,2020,6,27,4,-8,2,RAINY
1-1-1-7,2020,6,28,8,-5,11,SUNNY
1-1-1-7,2020,7,1,36,21,5,RAINY
1-1-1-7,2020,7,2,38,38,5,SUNNY
1-1-1-7,2020,7,3,26,-10,8,CLOUDY
1-1-1-7,2020,7,4,-2,-8,12,SUNNY
1-1-1-7,2020,7,5,13,0,12,SNOWY
1-1-1-7,2020,7,6,40,1,11,RAINY
1-1-1-7,2020,7,7,45,27,11,RAINY
1-1-1-7,2020,7,8,35,31,1,SNOWY
1-1-1-7,2020,7,9,2,-3,12,RAINY
1-1-1-7,2020,7,10,47,19,11,CLOUDY
1-1-1-7,2020,7,11,25,-9,9,RAINY
1-1-1-7,2020,7,12,43,-5,7,CLOUDY
1-1-1-7,2020,7,13,-6,-7,3,SUNNY
1-1-1-7,2020,7,14,3,1,2,RAINY
1-1-1-7,2020,7,15,40,-7,12,SNOWY
1-1-1-7,2020,7,16,30,19,4,CLOUDY
1-1-1-7,2020,7,17,36,16,11,SUNNY
1-1-1-7,2020,7,18,-8,-9,10,SNOWY
1-1-1-7,2020,7,19,-3,-5,9,SNOWY
1-1-1-7,2020,7,20,5,-2,10,SNOWY
1-1-1-7,2020,7,21,3,-4,12,RAINY
1-1-1-7,2020,7,22,41,34,6,SNOWY
1-1-1-7,2020,7,23,12,8,1,RAINY
1-1-1-7,2020,7,24,15,-1,6,SNOWY
1-1-1-7,2020,7,25,1,-5,10,SNOWY
1-1-1-7,2020,7,26,9,-8,2,SNOWY
1-1-1-7,2020,7,27,14,-8,3,SUNNY
1-1-1-7,2020,7,28,39,4,2,RAINY
1-1-1-7,2020,8,1,14,-6,12,SNOWY
1-1-1-7,2020,8,2,46,45,6,RAINY
1-1-1-7,2020,8,3,47,-10,5,CLOUDY
1-1-1-7,2020,8,4,21,-2,4,SNOWY
1-1-1-7,2020,8,5,30,9,3,SNOWY
1-1-1-7,2020,8,6,13,-8,5,RAINY
1-1-1-7,2020,8,7,24,13,0,CLOUDY
1-1-1-7,2020,8,8,45,-7,12,SNOWY
1-1-1-7,2020,8,9,50,9,10,CLOUDY
1-1-1-7,2020,8,10,14,14,12,CLOUDY
1-1-1-7,2020,8,11,-5,-10,4,SUNNY
1-1-1-7,2020,8,12,27,6,6,SUNNY
1-1-1-7,2020,8,13,32,15,5,SUNNY
1-1-1-7,2020,8,14,36,24,1,RAINY
1-1-1-7,2020,8,15,28,10,4,CLOUDY
1-1-1-7,2020,8,16,36,36,12,CLOUDY
1-1-1-7,2020,8,17,36,3,2,SUNNY
1-1-1-7,2020,8,18,32,0,11,RAINY
1-1-1-7,2020,8,19,42,-3,4,SUNNY
1-1-1-7,2020,8,20,-4,-5,0,SNOWY
1-1-1-7,2020,8,21,-5,-6,3,SUNNY
1-1-1-7,2020,8,22,14,-4,7,RAINY
1-1-1-7,2020,8,23,6,-10,11,RAINY
1-1-1-7,2020,8,24,21,9,11,RAINY
1-1-1-7,2020,8,25,26,25,12,SUNNY
1-1-1-7,2020,8,26,3,-4,5,SUNNY
1-1-1-7,2020,8,27,-10,-10,2,RAINY
1-1-1-7,2020,8,28,12,12,11,RAINY
1-1-1-7,2020,9,1,12,10,5,SNOWY
1-1-1-7,2020,9,2,45,11,8,RAINY
1-1-1-7,2020,9,3,15,10,4,SNOWY
1-1-1-7,2020,9,4,10,1,0,CLOUDY
1-1-1-7,2020,9,5,46,22,12,CLOUDY
1-1-1-7,2020,9,6,37,8,12,CLOUDY
1-1-1-7,2020,9,7,-6,-7,3,CLOUDY
1-1-1-7,2020,9,8,48,21,7,RAINY
1-1-1-7,2020,9,9,28,3,2,SUNNY
1-1-1-7,2020,9,10,47,28,2,RAINY
1-1-1-7,2020,9,11,-9,-10,4,SNOWY
1-1-1-7,2020,9,12,39,7,7,SNOWY
1-1-1-7,2020,9,13,-6,-7,3,RAINY
1-1-1-7,2020,9,14,47,29,12,SNOWY
1-1-1-7,2020,9,15,9,-8,5,RAINY
1-1-1-7,2020,9,16,10,-9,9,CLOUDY
1-1-1-7,2020,9,17,27,-1,9,SUNNY
1-1-1-7,2020,9,18,48,-6,2,CLOUDY
1-1-1-7,2020,9,19,11,-4,1,CLOUDY
1-1-1-7,2020,9,20,-5,-10,0,CLOUDY
1-1-1-7,2020,9,21,39,31,11,RAINY
1-1-1-7,2020,9,22,17,10,0,RAINY
1-1-1-7,2020,9,23,44,39,8,SNOWY
1-1-1-7,2020,9,24,17,9,4,CLOUDY
1-1-1-7,2020,9,25,19,2,7,RAINY
1-1-1-7,2020,9,26,46,12,1,SUNNY
1-1-1-7,2020,9,27,45,42,2,CLOUDY
1-1-1-7,2020,9,28,25,20,10,SUNNY
1-1-1-7,2020,10,1,39,-10,7,SUNNY
1-1-1-7,2020,10,2,37,15,2,RAINY
1-1-1-7,2020,10,3,-6,-9,5,SUNNY
1-1-1-7,2020,10,4,22,20,8,CLOUDY
1-1-1-7,2020,10,5,40,3,11,SUNNY
1-1-1-7,2020,10,6,33,14,12,RAINY
1-1-1-7,2020,10,7,34,34,6,SUNNY
1-1-1-7,2020,10,8,29,19,11,CLOUDY
1-1-1-7,2020,10,9,8,8,2,SUNNY
1-1-1-7,2020,10,10,-1,-4,2,CLOUDY
1-1-1-7,2020,10,11,46,0,3,SUNNY
1-1-1-7,2020,10,12,15,1,11,RAINY
1-1-1-7,2020,10,13,9,4,4,SUNNY
1-1-1-7,2020,10,14,26,25,7,RAINY
1-1-1-7,2020,10,15,26,4,3,SUNNY
1-1-1-7,2020,10,16,46,44,10,CLOUDY
1-1-1-7,2020,10,17,16,11,11,RAINY
1-1-1-7,2020,10,18,47,16,2,CLOUDY
1-1-1-7,2020,10,19,-1,-5,12,CLOUDY
1-1-1-7,2020,10,20,30,13,4,SNOWY
1-1-1-7,2020,10,21,27,16,2,SNOWY
1-1-1-7,2020,10,22,-1,-10,7,CLOUDY
1-1-1-7,2020,10,23,2,-10,0,RAINY
1-1-1-7,2020,10,24,20,1,11,SNOWY
1-1-1-7,2020,10,25,11,11,2,SUNNY
1-1-1-7,2020,10,26,49,28,0,SNOWY
1-1-1-7,2020,10,27,6,-2,4,SNOWY
1-1-1-7,2020,10,28,-6,-9,12,SUNNY
1-1-1-7,2020,11,1,-5,-9,11,SUNNY
1-1-1-7,2020,11,2,10,-10,9,SUNNY
1-1-1-7,2020,11,3,39,16,4,RAINY
1-1-1-7,2020,11,4,20,-1,4,SUNNY
1-1-1-7,2020,11,5,27,27,5,CLOUDY
1-1-1-7,2020,11,6,-4,-8,12,CLOUDY
1-1-1-7,2020,11,7,19,-8,5,SNOWY
1-1-1-7,2020,11,8,17,-5,0,CLOUDY
1-1-1-7,2020,11,9,24,15,9,SUNNY
1-1-1-7,2020,11,10,48,26,4,RAINY
1-1-1-7,2020,11,11,38,38,8,RAINY
1-1-1-7,2020,11,12,1,-1,9,SNOWY
1-1-1-7,2020,11,13,44,27,11,SNOWY
1-1-1-7,2020,11,14,15,11,5,SNOWY
1-1-1-7,2020,11,15,37,6,8,SUNNY
1-1-1-7,2020,11,16,41,5,11,SUNNY
1-1-1-7,2020,11,17,36,33,5,SNOWY
1-1-1-7,2020,11,18,6,-5,0,CLOUDY
1-1-1-7,2020,11,19,21,16,10,CLOUDY
1-1-1-7,2020,11,20,50,41,9,CLOUDY
1-1-1-7,2020,11,21,6,-3,1,SUNNY
1-1-1-7,2020,11,22,0,-10,4,SNOWY
1-1-1-7,2020,11,23,-10,-10,9,RAINY
1-1-1-7,2020,11,24,8,3,4,RAINY
1-1-1-7,2020,11,25,38,13,8,CLOUDY
1-1-1-7,2020,11,26,6,5,2,SUNNY
1-1-1-7,2020,11,27,40,39,1,SNOWY
1-1-1-7,2020,11,28,30,6,7,RAINY
1-1-1-7,2020,12,1,40,21,11,RAINY
1-1-1-7,2020,12,2,8,0,11,SNOWY
1-1-1-7,2020,12,3,34,1,10,SNOWY
1-1-1-7,2020,12,4,31,9,2,CLOUDY
1-1-1-7,2020,12,5,24,14,4,SNOWY
1-1-1-7,2020,12,6,34,3,9,SUNNY
1-1-1-7,2020,12,7,44,-9,4,RAINY
1-1-1-7,2020,12,8,47,9,7,SUNNY
1-1-1-7,2020,12,9,48,-8,2,CLOUDY
1-1-1-7,2020,12,10,35,34,8,SNOWY
1-1-1-7,2020,12,11,50,-5,10,SNOWY
1-1-1-7,2020,12,12,34,2,2,CLOUDY
1-1-1-7,2020,12,13,35,35,10,CLOUDY
1-1-1-7,2020,12,14,6,1,3,SUNNY
1-1-1-7,2020,12,15,16,0,2,SUNNY
1-1-1-7,2020,12,16,-10,-10,1,SNOWY
1-1-1-7,2020,12,17,40,27,1,CLOUDY
1-1-1-7,2020,12,18,-8,-9,8,CLOUDY
1-1-1-7,2020,12,19,-4,-8,12,SUNNY
1-1-1-7,2020,12,20,17,2,12,SNOWY
1-1-1-7,2020,12,21,-7,-8,11,RAINY
1-1-1-7,2020,12,22,42,9,2,SNOWY
1-1-1-7,2020,12,23,40,27,10,SUNNY
1-1-1-7,2020,12,24,-6,-8,0,SUNNY
1-1-1-7,2020,12,25,3,-10,8,SNOWY
1-1-1-7,2020,12,26,32,29,5,RAINY
1-1-1-7,2020,12,27,46,8,1,CLOUDY
1-1-1-7,2020,12,28,6,-7,6,SUNNY
1-1-1-8,2020,1,1,5,3,0,RAINY
1-1-1-8,2020,1,2,29,29,2,SNOWY
1-1-1-8,2020,1,3,24,5,7,SUNNY
1-1-1-8,2020,1,4,4,-4,3,SNOWY
1-1-1-8,2020,1,5,7,-3,6,SUNNY
1-1-1-8,2020,1,6,36,32,5,SUNNY
1-1-1-8,2020,1,7,11,9,3,CLOUDY
1-1-1-8,2020,1,8,24,7,7,SUNNY
1-1-1-8,2020,1,9,49,36,4,CLOUDY
1-1-1-8,2020,1,10,9,-9,6,RAINY
1-1-1-8,2020,1,11,36,3,12,SNOWY
1-1-1-8,2020,1,12,6,1,10,RAINY
1-1-1-8,2020,1,13,-2,-3,8,SUNNY
1-1-1-8,2020,1,14,39,9,12,RAINY
1-1-1-8,2020,1,15,48,11,3,SUNNY
1-1-1-8,2020,1,16,24,4,11,SUNNY
1-1-1-8,2020,1,17,9,-3,12,SUNNY
1-1-1-8,2020,1,18,38,35,10,SNOWY
1-1-1-8,2020,1,19,2,-10,6,SNOWY
1-1-1-8,2020,1,20,28,10,12,SNOWY
1-1-1-8,2020,1,21,-5,-10,9,CLOUDY
1-1-1-8,2020,1,22,46,7,1,SNOWY
1-1-1-8,2020,1,23,10,-8,11,SUNNY
1-1-1-8,2020,1,24,3,1,12,SNOWY
1-1-1-8,2020,1,25,28,-7,3,SNOWY
1-1-1-8,2020,1,26,33,13,0,RAINY
1-1-1-8,2020,1,27,15,6,5,RAINY
1-1-1-8,2020,1,28,44,2,0,SUNNY
1-1-1-8,2020,2,1,37,18,4,CLOUDY
1-1-1-8,2020,2,2,26,-6,12,CLOUDY
1-1-1-8,2020,2,3,12,10,3,SUNNY
1-1-1-8,2020,2,4,13,-9,3,SNOWY
1-1-1-8,2020,2,5,43,-3,4,RAINY
1-1-1-8,2020,2,6,-4,-8,6,CLOUDY
1-1-1-8,2020,2,7,25,12,7,RAINY
1-1-1-8,2020,2,8,6,1,3,RAINY
1-1-1-8,2020,2,9,20,0,8,SUNNY
1-1-1-8,2020,2,10,5,-3,0,SNOWY
1-1-1-8,2020,2,11,38,-9,4,CLOUDY
1-1-1-8,2020,2,12,47,13,6,SUNNY
1-1-1-8,2020,2,13,2,2,1,CLOUDY
1-1-1-8,2020,2,14,18,-3,4,SUNNY
1-1-1-8,2020,2,15,26,15,4,RAINY
1-1-1-8,2020,2,16,50,18,7,SUNNY
1-1-1-8,2020,2,17,20,9,9,CLOUDY
1-1-1-8,2020,2,18,10,4,11,CLOUDY
1-1-1-8,2020,2,19,10,3,8,RAINY
1-1-1-8,2020,2,20,7,5,4,SNOWY
1-1-1-8,2020,2,21,6,3,2,SNOWY
1-1-1-8,2020,2,22,12,-5,1,SNOWY
1-1-1-8,2020,2,23,1,-3,7,RAINY
1-1-1-8,2020,2,24,30,27,4,RAINY
1-1-1-8,2020,2,25,-6,-9,6,RAINY
1-1-1-8,2020,2,26,15,-6,12,RAINY
1-1-1-8,2020,2,27,42,30,8,RAINY
1-1-1-8,2020,2,28,35,24,10,SNOWY
1-1-1-8,2020,3,1,29,6,9,SUNNY
1-1-1-8,2020,3,2,43,25,8,CLOUDY
1-1-1-8,2020,3,3,33,-3,7,CLOUDY
1-1-1-8,2020,3,4,6,-3,3,CLOUDY
1-1-1-8,2020,3,5,50,25,6,SNOWY
1-1-1-8,2020,3,6,27,-3,5,SNOWY
1-1-1-8,2020,3,7,-3,-7,5,RAINY
1-1-1-8,2020,3,8,-10,-10,0,RAINY
1-1-1-8,2020,3,9,6,-6,11,RAINY
1-1-1-8,2020,3,10,13,10,7,SUNNY
1-1-1-8,2020,3,11,31,-7,0,SUNNY
1-1-1-8,2020,3,12,42,37,5,SUNNY
1-1-1-8,2020,3,13,-5,-6,8,CLOUDY
1-1-1-8,2020,3,14,7,-3,4,RAINY
1-1-1-8,2020,3,15,46,19,9,SNOWY
1-1-1-8,2020,3,16,40,1,11,RAINY
1-1-1-8,2020,3,17,26,5,0,CLOUDY
1-1-1-8,2020,3,18,-1,-3,6,RAINY
1-1-1-8,2020,3,19,33,15,8,SUNNY
1-1-1-8,2020,3,20,25,0,9,RAINY
1-1-1-8,2020,3,21,15,2,1,CLOUDY
1-1-1-8,2020,3,22,12,-9,9,CLOUDY
1-1-1-8,2020,3,23,23,2,9,RAINY
1-1-1-8,2020,3,24,39,21,2,RAINY
1-1-1-8,2020,3,25,25,14,12,SUNNY
1-1-1-8,2020,3,26,28,-8,6,SNOWY
1-1-1-8,2020,3,27,50,3,12,CLOUDY
1-1-1-8,2020,3,28,48,38,7,RAINY
1-1-1-8,2020,4,1,15,13,8,SUNNY
1-1-1-8,2020,4,2,10,5,1,RAINY
1-1-1-8,2020,4,3,-2,-4,6,SUNNY
1-1-1-8,2020,4,4,-4,-7,7,SNOWY
1-1-1-8,2020,4,5,0,-8,0,RAINY
1-1-1-8,2020,4,6,10,-4,12,SNOWY
1-1-1-8,2020,4,7,30,-1,8,CLOUDY
1-1-1-8,2020,4,8,26,1,0,CLOUDY
1-1-1-8,2020,4,9,7,-3,9,CLOUDY
1-1-1-8,2020,4,10,12,9,3,RAINY
1-1-1-8,2020,4,11,13,10,8,CLOUDY
1-1-1-8,2020,4,12,44,12,6,CLOUDY
1-1-1-8,2020,4,13,2,-6,0,CLOUDY
1-1-1-8,2020,4,14,43,1,12,CLOUDY
1-1-1-8,2020,4,15,50,18,8,SNOWY
1-1-1-8,2020,4,16,1,-4,9,CLOUDY
1-1-1-8,2020,4,17,29,1,7,RAINY
1-1-1-8,2020,4,18,-7,-9,8,RAINY
1-1-1-8,2020,4,19,-5,-6,8,RAINY
1-1-1-8,2020,4,20,46,-3,10,RAINY
1-1-1-8,2020,4,21,50,20,4,SNOWY
1-1-1-8,2020,4,22,-10,-10,12,RAINY
1-1-1-8,2020,4,23,6,-7,11,SUNNY
1-1-1-8,2020,4,24,6,-5,5,CLOUDY
1-1-1-8,2020,4,25,27,16,6,RAINY
1-1-1-8,2020,4,26,34,6,10,SUNNY
1-1-1-8,2020,4,27,28,24,5,RAINY
1-1-1-8,2020,4,28,27,20,3,SNOWY
1-1-1-8,2020,5,1,24,-7,7,SNOWY
1-1-1-8,2020,5,2,17,-8,6,SNOWY
1-1-1-8,2020,5,3,-3,-5,5,RAINY
1-1-1-8,2020,5,4,36,6,12,SNOWY
1-1-1-8,2020,5,5,44,18,12,SUNNY
1-1-1-8,2020,5,6,30,2,7,SUNNY
1-1-1-8,2020,5,7,48,8,12,RAINY
1-1-1-8,2020,5,8,10,10,9,RAINY
1-1-1-8,2020,5,9,23,7,12,CLOUDY
1-1-1-8,2020,5,10,8,0,3,SNOWY
1-1-1-8,2020,5,11,-2,-4,3,RAINY
1-1-1-8,2020,5,12,12,3,6,SUNNY
1-1-1-8,2020,5,13,-5,-9,11,CLOUDY
1-1-1-8,2020,5,14,10,1,3,RAINY
1-1-1-8,2020,5,15,-7,-9,7,RAINY
1-1-1-8,2020,5,16,30,-1,3,SNOWY
1-1-1-8,2020,5,17,-6,-7,2,RAINY
1-1-1-8,2020,5,18,50,7,10,CLOUDY
1-1-1-8,2020,5,19,29,7,7,CLOUDY
1-1-1-8,2020,5,20,33,1,9,CLOUDY
1-1-1-8,2020,5,21,31,17,1,SUNNY
1-1-1-8,2020,5,22,46,6,0,CLOUDY
1-1-1-8,2020,5,23,8,-2,3,CLOUDY
1-1-1-8,2020,5,24,45,41,5,SNOWY
1-1-1-8,2020,5,25,21,-8,7,CLOUDY
1-1-1-8,2020,5,26,3,-10,8,SNOWY
1-1-1-8,2020,5,27,31,20,12,SUNNY
1-1-1-8,2020,5,28,31,28,0,SUNNY
1-1-1-8,2020,6,1,31,-2,6,RAINY
1-1-1-8,2020,6,2,-3,-8,7,SNOWY
1-1-1-8,2020,6,3,23,10,5,RAINY
1-1-1-8,2020,6,4,-7,-9,11,CLOUDY
1-1-1-8,2020,6,5,9,2,4,SUNNY
1-1-1-8,2020,6,6,3,-2,10,SUNNY
1-1-1-8,2020,6,7,24,-5,6,RAINY
1-1-1-8,2020,6,8,-5,-8,5,SUNNY
1-1-1-8,2020,6,9,10,2,11,CLOUDY
1-1-1-8,2020,6,10,12,1,8,RAINY
1-1-1-8,2020,6,11,-1,-9,9,CLOUDY
1-1-1-8,2020,6,12,-4,-9,8,RAINY
1-1-1-8,2020,6,13,43,28,4,RAINY
1-1-1-8,2020,6,14,25,12,3,SUNNY
1-1-1-8,2020,6,15,22,15,6,RAINY
1-1-1-8,2020,6,16,34,12,11,SNOWY
1-1-1-8,2020,6,17,-8,-9,8,RAINY
1-1-1-8,2020,6,18,4,-9,12,SUNNY
1-1-1-8,2020,6,19,-5,-10,8,SUNNY
1-1-1-8,2020,6,20,16,16,9,SUNNY
1-1-1-8,2020,6,21,32,20,4,SNOWY
1-1-1-8,2020,6,22,38,14,11,SUNNY
1-1-1-8,2020,6,23,35,22,6,SNOWY
1-1-1-8,2020,6,24,-1,-5,4,SUNNY
1-1-1-8,2020,6,25,7,3,2,SUNNY
1-1-1-8,2020,6,26,44,37,8,SUNNY
